Ironclad CMDB API Audit Report
==============================
URL: https://my.api.mockaroo.com/ironclad/cmdb.json?key=cf7bbbd0
Status: 200
Total assets: 300

Assets by Environment:
- staging: 108
- prod: 101
- dev: 91

Assets by Risk Level:
- HIGH: 54
- MEDIUM: 133
- LOW: 113

Internet-Exposed Assets:
- db-3 | owner=HR | crit=low | env=staging
- compute-33 | owner=Engineering | crit=high | env=dev
- web-15 | owner=Engineering | crit=low | env=staging
- web-15 | owner=HR | crit=high | env=staging
- compute-9 | owner=Engineering | crit=medium | env=staging
- eng-24 | owner=Executive Administration | crit=low | env=prod
- web-16 | owner=IT | crit=low | env=prod
- web-10 | owner=Finance | crit=low | env=dev
- web-10 | owner=Executive Administration | crit=high | env=dev
- finance-24 | owner=HR | crit=high | env=prod
- web-15 | owner=Engineering | crit=high | env=staging
- web-26 | owner=Finance | crit=medium | env=prod
- eng-16 | owner=Executive Administration | crit=low | env=dev
- finance-35 | owner=IT | crit=high | env=prod
- eng-28 | owner=Security | crit=medium | env=staging
- db-31 | owner=Engineering | crit=high | env=staging
- web-48 | owner=IT | crit=low | env=staging
- eng-22 | owner=HR | crit=high | env=prod
- compute-50 | owner=Finance | crit=medium | env=staging
- db-17 | owner=Engineering | crit=medium | env=staging
- eng-33 | owner=Executive Administration | crit=high | env=dev
- web-36 | owner=IT | crit=medium | env=dev
- compute-43 | owner=Security | crit=medium | env=staging
- compute-28 | owner=IT | crit=low | env=staging
- web-39 | owner=Security | crit=low | env=dev
- finance-41 | owner=Executive Administration | crit=high | env=dev
- compute-12 | owner=Executive Administration | crit=high | env=staging
- eng-15 | owner=Engineering | crit=low | env=staging
- compute-14 | owner=HR | crit=low | env=dev
- eng-32 | owner=Security | crit=high | env=staging
- hr-33 | owner=Finance | crit=high | env=staging
- web-47 | owner=IT | crit=low | env=staging
- hr-25 | owner=Security | crit=medium | env=prod
- eng-14 | owner=Executive Administration | crit=low | env=prod
- db-12 | owner=Security | crit=high | env=staging
- web-36 | owner=Finance | crit=high | env=prod
- eng-48 | owner=Executive Administration | crit=high | env=prod
- eng-17 | owner=Finance | crit=low | env=staging
- web-16 | owner=Finance | crit=low | env=prod
- hr-4 | owner=IT | crit=low | env=dev
- compute-32 | owner=Engineering | crit=high | env=prod
- web-28 | owner=Executive Administration | crit=low | env=prod
- compute-36 | owner=Executive Administration | crit=medium | env=staging
- web-26 | owner=Engineering | crit=high | env=dev
- hr-26 | owner=Finance | crit=medium | env=prod
- db-13 | owner=Security | crit=high | env=staging
- eng-35 | owner=IT | crit=low | env=prod
- finance-48 | owner=IT | crit=medium | env=staging
- db-2 | owner=IT | crit=medium | env=staging
- eng-34 | owner=IT | crit=medium | env=dev
- hr-30 | owner=Finance | crit=low | env=prod
- hr-34 | owner=Finance | crit=medium | env=staging
- web-28 | owner=Executive Administration | crit=low | env=dev
- finance-29 | owner=Finance | crit=medium | env=prod
- hr-44 | owner=Engineering | crit=low | env=prod
- db-46 | owner=Security | crit=medium | env=prod
- eng-50 | owner=Executive Administration | crit=low | env=staging
- db-50 | owner=Finance | crit=low | env=prod
- db-41 | owner=Executive Administration | crit=high | env=prod
- hr-49 | owner=HR | crit=high | env=staging
- hr-26 | owner=Security | crit=high | env=prod
- hr-4 | owner=Engineering | crit=low | env=prod
- web-49 | owner=Finance | crit=low | env=staging
- finance-14 | owner=IT | crit=high | env=staging
- finance-46 | owner=Executive Administration | crit=high | env=staging
- eng-13 | owner=Engineering | crit=low | env=dev
- hr-16 | owner=Executive Administration | crit=high | env=dev
- finance-33 | owner=Security | crit=high | env=staging
- web-5 | owner=HR | crit=high | env=staging
- compute-3 | owner=Executive Administration | crit=low | env=prod
- hr-39 | owner=Executive Administration | crit=high | env=dev
- finance-41 | owner=IT | crit=low | env=dev
- eng-36 | owner=IT | crit=low | env=staging
- web-9 | owner=Finance | crit=high | env=prod
- finance-20 | owner=Engineering | crit=high | env=dev
- eng-31 | owner=Engineering | crit=high | env=staging
- compute-10 | owner=HR | crit=low | env=staging
- web-50 | owner=IT | crit=high | env=staging
- db-37 | owner=Security | crit=medium | env=dev
- db-4 | owner=Engineering | crit=low | env=dev
- db-4 | owner=Finance | crit=high | env=prod
- db-7 | owner=Executive Administration | crit=high | env=dev
- finance-16 | owner=Finance | crit=medium | env=prod
- hr-37 | owner=Finance | crit=high | env=prod
- db-11 | owner=Executive Administration | crit=medium | env=dev
- finance-30 | owner=IT | crit=medium | env=staging
- hr-33 | owner=IT | crit=medium | env=dev
- db-30 | owner=Finance | crit=low | env=prod
- compute-28 | owner=Finance | crit=low | env=staging
- finance-28 | owner=Engineering | crit=high | env=staging
- compute-44 | owner=Finance | crit=high | env=dev
- finance-1 | owner=Engineering | crit=high | env=staging
- web-9 | owner=Executive Administration | crit=low | env=prod
- compute-3 | owner=Finance | crit=high | env=prod
- db-23 | owner=Executive Administration | crit=high | env=dev
- compute-45 | owner=Finance | crit=low | env=staging
- finance-20 | owner=Finance | crit=high | env=dev
- compute-4 | owner=Finance | crit=medium | env=prod
- compute-5 | owner=Finance | crit=medium | env=prod
- db-10 | owner=HR | crit=medium | env=prod
- eng-11 | owner=IT | crit=high | env=prod
- eng-6 | owner=Engineering | crit=low | env=dev
- finance-6 | owner=IT | crit=low | env=dev
- eng-22 | owner=Engineering | crit=medium | env=dev
- compute-14 | owner=Engineering | crit=high | env=prod
- hr-33 | owner=Engineering | crit=low | env=prod
- web-31 | owner=Engineering | crit=medium | env=dev
- db-35 | owner=HR | crit=high | env=dev
- finance-10 | owner=HR | crit=low | env=staging
- compute-49 | owner=Executive Administration | crit=medium | env=staging
- db-47 | owner=Security | crit=medium | env=prod
- hr-27 | owner=IT | crit=high | env=dev
- compute-24 | owner=Executive Administration | crit=low | env=staging
- db-29 | owner=HR | crit=high | env=dev
- eng-42 | owner=Security | crit=high | env=staging
- web-32 | owner=Finance | crit=medium | env=staging
- web-46 | owner=IT | crit=high | env=staging
- web-16 | owner=IT | crit=low | env=staging
- compute-21 | owner=HR | crit=low | env=prod
- eng-21 | owner=Security | crit=low | env=dev
- eng-29 | owner=Finance | crit=low | env=prod
- db-6 | owner=Executive Administration | crit=medium | env=staging
- finance-39 | owner=Executive Administration | crit=high | env=dev
- hr-38 | owner=Finance | crit=high | env=staging
- web-12 | owner=IT | crit=low | env=prod
- eng-24 | owner=HR | crit=low | env=prod
- web-7 | owner=Executive Administration | crit=low | env=prod
- finance-15 | owner=Security | crit=high | env=staging
- web-48 | owner=HR | crit=medium | env=staging
- compute-15 | owner=Security | crit=medium | env=prod
- web-9 | owner=Security | crit=high | env=staging
- compute-7 | owner=Engineering | crit=high | env=dev
- eng-6 | owner=Finance | crit=medium | env=dev
- finance-4 | owner=HR | crit=high | env=prod

High Priority Review List
--------------------------------------------
- eng-24 | owner=Executive Administration | crit=low | exposed=True | env=prod
- web-16 | owner=IT | crit=low | exposed=True | env=prod
- finance-24 | owner=HR | crit=high | exposed=True | env=prod
- web-26 | owner=Finance | crit=medium | exposed=True | env=prod
- finance-35 | owner=IT | crit=high | exposed=True | env=prod
- eng-22 | owner=HR | crit=high | exposed=True | env=prod
- finance-40 | owner=Security | crit=high | exposed=False | env=prod
- compute-13 | owner=IT | crit=high | exposed=False | env=prod
- finance-22 | owner=HR | crit=high | exposed=False | env=prod
- compute-34 | owner=Engineering | crit=high | exposed=False | env=prod
- hr-25 | owner=Security | crit=medium | exposed=True | env=prod
- eng-14 | owner=Executive Administration | crit=low | exposed=True | env=prod
- web-47 | owner=IT | crit=high | exposed=False | env=prod
- web-36 | owner=Finance | crit=high | exposed=True | env=prod
- eng-48 | owner=Executive Administration | crit=high | exposed=True | env=prod
- web-16 | owner=Finance | crit=low | exposed=True | env=prod
- compute-32 | owner=Engineering | crit=high | exposed=True | env=prod
- finance-47 | owner=IT | crit=high | exposed=False | env=prod
- web-28 | owner=Executive Administration | crit=low | exposed=True | env=prod
- hr-26 | owner=Finance | crit=medium | exposed=True | env=prod
- eng-35 | owner=IT | crit=low | exposed=True | env=prod
- hr-30 | owner=Finance | crit=low | exposed=True | env=prod
- finance-29 | owner=Finance | crit=medium | exposed=True | env=prod
- hr-19 | owner=Security | crit=high | exposed=False | env=prod
- eng-30 | owner=Finance | crit=high | exposed=False | env=prod
- hr-44 | owner=Engineering | crit=low | exposed=True | env=prod
- db-46 | owner=Security | crit=medium | exposed=True | env=prod
- db-50 | owner=Finance | crit=low | exposed=True | env=prod
- db-41 | owner=Executive Administration | crit=high | exposed=True | env=prod
- hr-26 | owner=Security | crit=high | exposed=True | env=prod
- hr-4 | owner=Engineering | crit=low | exposed=True | env=prod
- db-38 | owner=Security | crit=high | exposed=False | env=prod
- compute-3 | owner=Executive Administration | crit=low | exposed=True | env=prod
- web-9 | owner=Finance | crit=high | exposed=True | env=prod
- hr-42 | owner=HR | crit=high | exposed=False | env=prod
- db-4 | owner=Finance | crit=high | exposed=True | env=prod
- finance-16 | owner=Finance | crit=medium | exposed=True | env=prod
- hr-37 | owner=Finance | crit=high | exposed=True | env=prod
- hr-40 | owner=Finance | crit=high | exposed=False | env=prod
- db-30 | owner=Finance | crit=low | exposed=True | env=prod
- hr-10 | owner=Security | crit=high | exposed=False | env=prod
- web-9 | owner=Executive Administration | crit=low | exposed=True | env=prod
- compute-3 | owner=Finance | crit=high | exposed=True | env=prod
- compute-4 | owner=Finance | crit=medium | exposed=True | env=prod
- compute-5 | owner=Finance | crit=medium | exposed=True | env=prod
- db-10 | owner=HR | crit=medium | exposed=True | env=prod
- eng-11 | owner=IT | crit=high | exposed=True | env=prod
- compute-14 | owner=Engineering | crit=high | exposed=True | env=prod
- hr-33 | owner=Engineering | crit=low | exposed=True | env=prod
- db-47 | owner=Security | crit=medium | exposed=True | env=prod
- compute-21 | owner=HR | crit=low | exposed=True | env=prod
- eng-29 | owner=Finance | crit=low | exposed=True | env=prod
- finance-13 | owner=Finance | crit=high | exposed=False | env=prod
- web-42 | owner=Security | crit=high | exposed=False | env=prod
- web-12 | owner=IT | crit=low | exposed=True | env=prod
- eng-24 | owner=HR | crit=low | exposed=True | env=prod
- hr-23 | owner=Engineering | crit=high | exposed=False | env=prod
- web-7 | owner=Executive Administration | crit=low | exposed=True | env=prod
- compute-15 | owner=Security | crit=medium | exposed=True | env=prod
- finance-4 | owner=HR | crit=high | exposed=True | env=prod

Top 3 Owner Teams by HIGH Risk
--------------------------------------------
- Executive Administration: 12
- Engineering: 11
- Finance: 9

Assets Not Seen in 30+ Days
--------------------------------------------
- db-3 | owner=HR | last_seen=1/19/2025 | days_ago=364 | env=staging
- hr-45 | owner=Security | last_seen=9/22/2025 | days_ago=118 | env=prod
- hr-16 | owner=HR | last_seen=10/12/2025 | days_ago=98 | env=staging
- compute-33 | owner=Engineering | last_seen=5/24/2025 | days_ago=239 | env=dev
- web-15 | owner=Engineering | last_seen=3/11/2025 | days_ago=313 | env=staging
- web-15 | owner=HR | last_seen=9/21/2025 | days_ago=119 | env=staging
- compute-9 | owner=Engineering | last_seen=11/29/2025 | days_ago=50 | env=staging
- compute-31 | owner=HR | last_seen=6/15/2025 | days_ago=217 | env=dev
- eng-24 | owner=Executive Administration | last_seen=10/6/2025 | days_ago=104 | env=prod
- eng-34 | owner=HR | last_seen=4/23/2025 | days_ago=270 | env=staging
- eng-8 | owner=Finance | last_seen=7/16/2025 | days_ago=186 | env=dev
- web-16 | owner=IT | last_seen=10/31/2025 | days_ago=79 | env=prod
- web-10 | owner=Finance | last_seen=4/11/2025 | days_ago=282 | env=dev
- web-10 | owner=Executive Administration | last_seen=7/31/2025 | days_ago=171 | env=dev
- finance-24 | owner=HR | last_seen=11/13/2025 | days_ago=66 | env=prod
- web-15 | owner=Engineering | last_seen=1/9/2025 | days_ago=374 | env=staging
- web-26 | owner=Finance | last_seen=11/9/2025 | days_ago=70 | env=prod
- web-33 | owner=IT | last_seen=1/17/2025 | days_ago=366 | env=staging
- finance-24 | owner=Finance | last_seen=4/3/2025 | days_ago=290 | env=staging
- finance-35 | owner=IT | last_seen=2/9/2025 | days_ago=343 | env=prod
- compute-2 | owner=Executive Administration | last_seen=2/25/2025 | days_ago=327 | env=staging
- web-31 | owner=Finance | last_seen=8/21/2025 | days_ago=150 | env=prod
- web-12 | owner=IT | last_seen=8/4/2025 | days_ago=167 | env=prod
- finance-14 | owner=Executive Administration | last_seen=4/16/2025 | days_ago=277 | env=dev
- eng-28 | owner=Security | last_seen=5/8/2025 | days_ago=255 | env=staging
